transaction_id,settled_amount,settlement_date
TXN1,1187.17,2026-03-17 00:48:20
TXN2,3144.13,2026-03-09 03:41:16
TXN3,1548.3,2026-05-06 21:31:05
TXN4,4839.92,2026-04-22 19:03:18
TXN5,1540.44,2026-02-13 13:14:59
TXN6,3770.26,2026-05-01 15:35:03
TXN7,3182.04,2026-02-21 18:17:16
TXN8,4790.4,2026-05-09 13:44:54
TXN9,1398.21,2026-02-03 04:34:08
TXN10,1881.71,2026-02-04 00:33:01
TXN11,3881.28,2026-04-23 18:52:48
TXN12,1745.35,2026-04-10 05:52:20
TXN13,3255.66,2026-03-13 11:46:38
TXN14,4951.64,2026-03-17 15:19:15
TXN15,891.03,2026-05-20 23:52:00
TXN16,1956.97,2026-05-04 14:37:27
TXN17,3182.86,2026-01-27 17:10:04
TXN18,1281.32,2026-03-06 15:45:51
TXN19,3134.54,2026-04-06 23:57:02
TXN20,4194.57,2026-03-21 07:44:48
TXN21,2390.1,2026-05-18 19:35:33
TXN22,955.45,2026-04-09 10:18:10
TXN23,3345.52,2026-04-28 16:16:29
TXN24,3266.93,2026-05-10 00:59:11
TXN25,912.15,2026-03-10 16:24:29
TXN26,4189.88,2026-04-12 07:40:19
TXN27,4135.52,2026-03-16 17:39:43
TXN28,4035.22,2026-02-22 05:49:39
TXN29,2404.03,2026-02-18 12:19:12
TXN30,4300.18,2026-01-06 18:00:01
TXN31,3774.85,2026-03-16 03:33:51
TXN32,2973.59,2026-04-17 19:35:07
TXN33,4178.61,2026-02-17 23:20:24
TXN34,3745.02,2026-01-13 03:39:13
TXN35,367.6,2026-02-04 17:13:18
TXN36,3770.95,2026-03-04 14:02:31
TXN37,3354.59,2026-01-12 21:44:11
TXN38,2016.84,2026-03-06 16:06:42
TXN39,1292.06,2026-05-06 19:49:20
TXN40,4631.28,2026-02-28 05:11:49
TXN41,4627.88,2026-01-06 01:30:50
TXN42,1265.22,2026-05-16 13:49:29
TXN43,4168.72,2026-04-05 02:46:05
TXN44,4614.25,2026-01-11 00:58:44
TXN45,431.43,2026-05-08 20:00:48
TXN46,2707.44,2026-01-26 15:23:14
TXN47,3474.1,2026-04-05 21:59:49
TXN48,821.61,2026-04-23 11:24:48
TXN49,433.03,2026-05-19 16:25:57
TXN50,3943.91,2026-05-05 21:56:19
TXN51,4320.57,2026-05-18 01:16:51
TXN52,1772.19,2026-01-05 09:01:42
TXN53,4162.26,2026-02-27 06:56:37
TXN54,2295.73,2026-03-03 19:30:38
TXN55,3714.29,2026-02-19 10:42:07
TXN56,3714.94,2026-01-25 21:45:34
TXN57,2554.24,2026-01-18 15:05:34
TXN58,4269.92,2026-02-03 00:01:23
TXN59,3340.2,2026-03-11 18:05:54
TXN60,3364.64,2026-03-23 20:51:32
TXN61,4541.54,2026-03-28 00:36:57
TXN62,3332.08,2026-02-26 08:44:13
TXN63,1053.91,2026-03-17 20:28:27
TXN64,4739.01,2026-05-19 02:55:43
TXN65,2561.29,2026-05-18 02:35:07
TXN66,4618.64,2026-01-24 18:48:55
TXN67,4927.85,2026-05-07 11:19:24
TXN68,4367.73,2026-04-18 00:05:01
TXN69,2593.68,2026-02-11 15:29:48
TXN70,106.2,2026-03-09 03:35:03
TXN71,4575.73,2026-03-26 22:02:49
TXN72,247.49,2026-01-16 11:20:12
TXN73,3157.85,2026-04-24 02:29:38
TXN74,869.79,2026-04-09 00:56:32
TXN75,1191.26,2026-05-18 10:48:25
TXN76,3240.64,2026-02-28 02:59:26
TXN77,527.71,2026-05-04 09:21:52
TXN78,3533.92,2026-04-27 15:11:45
TXN79,3534.09,2026-02-22 04:31:40
TXN80,1042.45,2026-02-07 11:48:13
TXN81,3571.35,2026-05-06 14:17:15
TXN82,946.59,2026-01-13 18:31:13
TXN83,3527.89,2026-02-11 11:24:08
TXN84,4032.84,2026-03-27 16:17:34
TXN85,4368.82,2026-04-16 18:37:16
TXN86,103.52,2026-02-03 01:24:35
TXN87,3131.13,2026-01-20 06:47:35
TXN88,583.82,2026-03-17 03:05:26
TXN89,2701.25,2026-02-20 02:56:50
TXN90,857.82,2026-04-15 15:50:36
TXN91,3550.02,2026-03-03 17:20:52
TXN92,3682.73,2026-04-26 22:55:38
TXN93,813.63,2026-03-05 15:16:41
TXN94,2849.43,2026-03-27 07:55:05
TXN95,2890.52,2026-04-21 12:59:20
TXN96,664.34,2026-03-19 17:49:54
TXN97,227.22,2026-02-14 01:49:55
TXN98,1580.37,2026-01-31 22:13:08
TXN99,1769.04,2026-04-12 22:26:00
TXN100,3676.88,2026-03-24 02:07:26
TXN101,1365.41,2026-01-06 13:30:14
TXN102,722.19,2026-05-14 23:45:31
TXN103,3120.97,2026-01-14 07:29:37
TXN104,3585.14,2026-03-02 18:07:50
TXN105,4952.89,2026-01-08 15:38:30
TXN106,3203.41,2026-01-18 23:17:48
TXN107,924.31,2026-04-27 04:41:34
TXN108,499.43,2026-04-02 22:25:37
TXN109,148.25,2026-03-20 07:55:15
TXN110,118.75,2026-03-15 18:19:14
TXN111,3175.9,2026-05-09 12:34:57
TXN112,3570.02,2026-03-22 20:50:47
TXN113,618.57,2026-01-20 04:15:52
TXN114,2144.62,2026-05-20 17:22:37
TXN115,1802.62,2026-03-11 02:54:50
TXN116,4317.91,2026-03-02 06:42:18
TXN117,2789.31,2026-04-23 14:18:57
TXN118,2109.62,2026-02-11 19:48:20
TXN119,835.0,2026-02-20 20:08:07
TXN120,2282.94,2026-03-01 13:50:23
TXN6,3770.26,2026-05-01 15:35:03
