transaction_id,amount,txn_date
TXN1,3710.77,2026-01-24 12:00:24
TXN2,1392.44,2026-03-10 12:01:10
TXN3,2354.0,2026-05-07 09:19:32
TXN4,1393.77,2026-05-13 20:54:31
TXN5,4188.76,2026-05-20 05:23:37
TXN6,712.79,2026-03-11 10:18:01
TXN7,896.04,2026-02-10 18:39:52
TXN8,2038.23,2026-03-14 11:41:25
TXN9,3939.7,2026-01-08 11:09:49
TXN10,4575.08,2026-01-05 09:38:37
TXN11,985.85,2026-03-20 13:52:32
TXN12,4306.51,2026-02-06 22:12:31
TXN13,3718.9,2026-03-09 06:10:15
TXN14,4796.73,2026-01-15 01:21:53
TXN15,3644.41,2026-04-18 03:59:24
TXN16,751.56,2026-02-24 18:00:00
TXN17,3118.42,2026-03-02 03:18:53
TXN18,3944.37,2026-01-22 14:33:12
TXN19,3936.46,2026-01-07 10:07:57
TXN20,2522.07,2026-01-07 22:27:36
TXN21,4394.69,2026-01-04 12:46:25
TXN22,3277.59,2026-05-15 03:13:56
TXN23,480.36,2026-02-13 23:48:14
TXN24,2729.22,2026-04-02 23:55:52
TXN25,4238.32,2026-01-06 15:48:09
TXN26,1553.37,2026-01-21 19:17:52
TXN27,3398.43,2026-03-17 00:51:00
TXN28,3884.22,2026-03-05 13:00:07
TXN29,1539.6,2026-05-16 06:25:53
TXN30,2529.16,2026-03-31 16:44:03
TXN31,4058.18,2026-01-19 20:37:07
TXN32,4273.63,2026-03-15 04:38:35
TXN33,2245.1,2026-02-15 20:51:27
TXN34,3403.42,2026-02-10 17:36:37
TXN35,213.31,2026-04-05 18:12:41
TXN36,1490.42,2026-01-20 00:09:25
TXN37,2931.14,2026-03-29 17:14:58
TXN38,1031.85,2026-03-13 15:43:52
TXN39,4430.47,2026-05-16 01:02:17
TXN40,1370.52,2026-05-13 01:47:58
TXN41,2887.64,2026-04-20 21:29:50
TXN42,1439.55,2026-04-18 09:06:32
TXN43,219.45,2026-01-21 16:27:52
TXN44,548.5,2026-01-16 22:57:52
TXN45,2044.1,2026-04-20 01:28:43
TXN46,4166.35,2026-03-08 06:53:37
TXN47,1172.51,2026-05-18 23:55:24
TXN48,426.35,2026-03-30 07:59:17
TXN49,1227.74,2026-05-19 09:33:15
TXN50,4654.53,2026-01-24 23:14:08
TXN51,832.84,2026-03-21 22:28:02
TXN52,2705.25,2026-02-25 04:16:09
TXN53,4106.96,2026-01-05 21:36:20
TXN54,1838.17,2026-03-07 09:41:51
TXN55,984.78,2026-04-24 19:47:55
TXN56,3733.87,2026-05-14 12:15:28
TXN57,3888.77,2026-02-11 14:36:00
TXN58,2417.18,2026-04-03 16:03:37
TXN59,2720.92,2026-05-12 04:45:41
TXN60,2892.31,2026-01-23 17:52:28
TXN61,418.92,2026-03-08 21:27:45
TXN62,496.9,2026-03-22 02:23:07
TXN63,283.01,2026-03-20 06:38:09
TXN64,3555.46,2026-02-23 12:18:15
TXN65,2568.04,2026-04-28 00:30:58
TXN66,4295.44,2026-01-18 02:43:59
TXN67,4709.46,2026-01-14 07:27:48
TXN68,2585.5,2026-04-03 23:26:10
TXN69,2453.47,2026-04-28 15:34:00
TXN70,4333.68,2026-05-03 16:59:17
TXN71,1608.41,2026-02-12 05:27:35
TXN72,2162.54,2026-01-30 23:12:27
TXN73,4583.4,2026-03-07 23:14:32
TXN74,1203.75,2026-02-05 20:51:05
TXN75,4554.06,2026-05-18 15:46:43
TXN76,2033.65,2026-04-09 12:08:33
TXN77,4505.14,2026-03-27 07:10:17
TXN78,3707.8,2026-03-12 21:41:21
TXN79,4344.91,2026-01-14 09:27:29
TXN80,1368.42,2026-03-13 01:43:57
TXN81,2072.28,2026-02-26 04:40:00
TXN82,1139.11,2026-03-12 03:04:46
TXN83,2537.49,2026-02-21 14:31:37
TXN84,1687.08,2026-03-04 09:28:37
TXN85,578.73,2026-04-08 07:23:00
TXN86,4352.53,2026-02-22 15:51:33
TXN87,644.84,2026-05-01 10:13:13
TXN88,4441.04,2026-02-19 12:53:09
TXN89,1447.21,2026-04-02 21:09:02
TXN90,3675.68,2026-03-21 16:50:12
TXN91,4155.58,2026-04-24 10:30:07
TXN92,2478.84,2026-02-05 06:55:57
TXN93,1683.69,2026-01-28 11:23:34
TXN94,4877.22,2026-04-04 03:42:38
TXN95,1165.53,2026-03-06 00:30:28
TXN96,3425.03,2026-03-31 21:56:13
TXN97,4354.11,2026-02-11 04:06:08
TXN98,2665.22,2026-04-05 12:10:44
TXN99,1201.23,2026-02-17 15:28:20
TXN100,3372.89,2026-01-17 17:13:56
TXN6,712.79,2026-03-11 10:18:01
TXN200,5000.0,2026-02-17 01:53:13
TXN300,2500.0,2026-05-12 20:17:38
